FirstName,LastName,Gender,CompanyName,LaunchYear,EmployeeExperience,State,Salary,Comission%
Indira,Banerjee,Female,Carring,2010,7,Karnataka,423011,0.5
Jaya,Varma,Female,Envehicle,2015,3,Karnataka,786722,1.0
Arya,Mathur,Female,Vehiclesero,2020,11,Karnataka,681241,2.5
Ashish,Kumar,Male,Motorsify,2019,14,Gujarat,449494,1.5
Rohit,Sinha,Male,Motorcarpro,2018,12,Maharashtra,573371,3.0
Maya,Jaiswal,Female,Machinesify,2013,1,Karnataka,678670,0.5
Kamal,Gupta,Male,Gomachines,2021,12,Maharashtra,542424,1.0
Nishtha,Krishna,Female,Autosia,2010,14,Gujarat,873661,2.5
Akshara,Singh,Female,Vehiclesster,2015,3,Gujarat,402417,1.5
Asha,Devi,Female,Cosedan,2020,10,Gujarat,839482,3.0
Aanya,Choudhary,Female,Carsly,2010,12,Maharashtra,594559,1.5
Ashish,Shah,Male,Elvehicles,2015,4,Maharashtra,723479,2.0
Aashish,Pandey,Male,Gocar,2020,3,Gujarat,877033,3.0
Kabir,Khanna,Male,Onmotorcar,2019,2,Gujarat,786722,1.5
Diyaan,Yadav,Male,Automotivehicle,2018,13,Karnataka,681241,0.5
Anusha,Singh,Female,Carsable,2013,6,Maharashtra,449494,1.0
Pranav,Kapoor,Male,Elmotors,2015,13,Maharashtra,573371,2.5
Nehara,Rani,Female,Vehiclesia,2020,10,Gujarat,678670,1.5
Krish,Solanki,Male,Carsy,2019,1,Karnataka,542424,3.0
Vedika,Rao,Female,Motority,2018,9,Maharashtra,873661,1.5
Shivansh,Goyal,Male,Autor,2013,5,Maharashtra,402417,2.0
Ritu,Chatterjee,Female,Autosus,2014,6,Karnataka,839482,1.0
Neel,Agarwal,Male,Vehiclesist,2010,4,Karnataka,594559,2.5
Janani,Gupta,Female,Machinesam,2015,11,Gujarat,723479,1.5
Anirudh,Malhotra,Male,Encar,2020,8,Gujarat,877033,3.0
Nisha,Chopra,Female,NitroCars,2019,2,Karnataka,423011,1.5
Malini,Choudhury,Female,Carsity,2018,6,Gujarat,786722,2.0
Meera,Khurana,Female,Cocars,2013,12,Gujarat,681241,1.5
Suraya,Patel,Female,Carsora,2011,5,Gujarat,449494,1.5
Malini,Shah,Female,Covehicle,2012,7,Maharashtra,573371,3.0
Ayesha,Chatterjee,Female,Carable,2019,12,Karnataka,678670,1.5
Manohar,Singh,Male,Motorcaria,2018,1,Maharashtra,542424,2.0
Praveen,Sharma,Male,Lasedan,2013,12,Maharashtra,423011,3.0
Vivan,Shastri,Male,Carsam,2021,14,Gujarat,786722,1.5
Kunal,Rajput,Male,Motorsla,2010,3,Gujarat,681241,0.5
Aniket,Reddy,Male,Onmachine,2015,10,Gujarat,449494,1.0
Nila,Joshi,Female,Elautos,2020,12,Maharashtra,573371,2.5
Kaushal,Malhotra,Male,Sedania,2010,4,Gujarat,678670,1.5
Vikram,Kapoor,Male,Carup,2015,3,Gujarat,542424,3.0
Arjun,Patel,Male,Carser,2020,6,Gujarat,873661,1.5
