first_name,last_name,dob,city,joining_date,contact_number,income
aarav,Agarwal,03/22/1987, Chennai,11/12/2016,4411855900,614531
Aashi,.Bhatia,10/05/1994,Mumbai,09/10/2017,3426602363,668875
Abhinav,Chauhan,12/18/2001,Mumbai,03/09/2020,7247036681,641068
Aditi,.Das,06/28/1989,Mumbai,07/07/2016,3202576895,495751
Advik,Agarwal,07/14/1996, Chennai,02/02/2019,864674109,549881
Ahana,Iyer,11/09/1978, Chennai,05/11/2017,977633401,544566
Aisha,Jha,09/03/1985,Delhi,08/01/2018,8024167954,591211
Akash,Kapoor,04/16/1992,  Bangalore,09/03/2016,4388979073,322177
Akshara,Lal,02/01/1974,  Bangalore,01/07/2018,3707429627,373146
Alisha,Mathur,08/25/2001, Chennai,10/10/2021,2630427253,480918
Aman,Nair,01/30/1998,Delhi,03/08/2015,7041619500,402154
Amaya,Patel,05/11/2000,Mumbai,06/04/2021,6967494264,674469
Ananya,Reddy,07/27/1982,Delhi,04/03/2017,2125682056,384419
Aniket,Seth,03/19/1990,Kolkata,12/08/2020,2153592368,588931
Anisha,.Verma,12/08/1983,Mumbai,08/05/2016,7116991212,486256
Anuj,Ahuja,06/10/1977,  Bangalore,01/02/2018,2580734691,682045
Anvi,Banerjee,09/21/2000,Kolkata,07/12/2020,3044710639,508860
arjun,Choudhury,11/03/1995,Delhi,09/10/2020,4140207737,607073
arya,Dube,08/14/1981,Delhi,10/09/2022,3788996299,593691
Atharv,Gokhale,02/05/1971,  Bangalore,03/05/2016,8665535476,576904
Avani,Iyengar,10/29/1988,Mumbai,06/01/2021,5305517048,473076
Avinash,Joshi,04/22/1993,Mumbai,08/07/2020,6927458059,524722
Bhavya,Madan,01/13/1976,Delhi,04/02/2018,8228957405,480575
Chirag,Naik,07/06/1991,Mumbai,12/12/2019,9113465075,407827
Dev,Puri,05/28/1986,Kolkata,02/08/2015,3210909644,332986
Devika,Sengupta,03/02/1979,Mumbai,11/04/2019,3810511868,329581
Dhruv,Vyas,09/17/1999, Chennai,09/09/2018,3496361577,317570
Diya,Anand,11/25/1984, Chennai,06/03/2021,7597375025,351175
Esha,Basu,08/07/1972,  Bangalore,05/12/2020,5822309620,322291
Gaurav,Dey,06/01/1997,Kolkata,08/10/2019,3264317880,341200
Hritik,Gupta,01/24/1980, Chennai,04/09/2021,8573714338,323120
Ishaan,Jain,04/09/1968, Chennai,10/03/2020,2319572402,659547
Ishani,Khanna,10/12/1975,  Bangalore,07/07/2021,5560531605,411339
Ishita,Mehta,12/31/1987,Mumbai,03/05/2018,3209452114,566634
Jai,Ojha,07/09/2000,  Bangalore,11/11/2019,2077501680,357414
Jiya,Rajput,03/14/1973,Kolkata,02/09/2020,5595384638,544660
Kabir,Sharma,05/03/1985,Delhi,05/06/2017,4549664620,349402
kavya,Walia,09/28/1994,Mumbai,09/12/2018,9502174500,350545
Krish,Jha,11/18/1989,Delhi,08/05/2019,2426138047,627622
Mahi,Bedi,06/06/1970,Delhi,01/11/2020,9078570111,608370
Manav,Desai,02/20/1991,Kolkata,04/12/2018,3272673665,309085
Manya,G,08/23/1982,Mumbai,07/03/2016,4269465001,690920
